Feature,ModelsUsed,AvgNormImportance
A4_Score,2,0.12923537914992586
result,2,0.11981492836820475
age,2,0.11667886194820636
A9_Score,2,0.11066030335228837
A6_Score,2,0.1090250294858377
A3_Score,2,0.06447121001683148
A8_Score,2,0.049945401746387015
ethnicity_White-European,2,0.047777330496139366
austim_no,2,0.045109665961809105
A5_Score,2,0.0422526817138904
contry_of_res_United States,2,0.03899614673555115
A7_Score,2,0.021566108746335154
ethnicity_?,2,0.02025421859562611
gender_f,1,0.01834505430202283
jaundice_no,2,0.014046778620667126
A2_Score,2,0.013236804878074403
relation_Self,1,0.011198627392427461
A1_Score,2,0.010807477159631665
contry_of_res_Australia,1,0.010112316963533685
contry_of_res_New Zealand,1,0.006465674366609964
