Feature,Mean|SHAP|,MeanSHAP,Direction
A4_Score,0.042433784722222215,0.0005053124999999957,↑ increases ASD
A6_Score,0.041528749999999996,0.004395763888888881,↑ increases ASD
A9_Score,0.032585138888888907,-0.000537847222222224,↓ decreases ASD
result,0.026518229166666657,0.0015494097222222235,↑ increases ASD
A3_Score,0.022030416666666677,5.840277777777868e-05,↑ increases ASD
ethnicity_White-European,0.021235451388888892,-0.0024332291666666656,↓ decreases ASD
A5_Score,0.02064086805555556,-0.000268645833333336,↓ decreases ASD
A7_Score,0.017754618055555546,-0.0013352430555555528,↓ decreases ASD
A8_Score,0.014419166666666655,-0.0007208333333333224,↓ decreases ASD
austim_no,0.014075868055555552,0.0008972569444444386,↑ increases ASD
austim_yes,0.01367458333333334,0.001472013888888888,↑ increases ASD
age,0.01358135416666667,0.00022177083333334147,↑ increases ASD
contry_of_res_United States,0.013196041666666667,-0.001298333333333321,↓ decreases ASD
A2_Score,0.011023888888888887,-0.0006847916666666648,↓ decreases ASD
A10_Score,0.00953795138888889,0.0009418402777777791,↑ increases ASD
jaundice_yes,0.005270104166666666,-0.0011392708333333354,↓ decreases ASD
jaundice_no,0.004672256944444447,-0.0002146874999999918,↓ decreases ASD
ethnicity_?,0.003739270833333338,0.0004946180555555592,↑ increases ASD
A1_Score,0.0034210416666666716,-0.0012679166666666574,↓ decreases ASD
used_app_before_no,0.0031632986111111102,0.0012976041666666659,↑ increases ASD
