Feature,Mean|SHAP|,MeanSHAP,Direction
A4_Score,0.053126519389030305,-0.0030440002318124146,↓ decreases ASD
result,0.04925392842825392,-0.005031240311181365,↓ decreases ASD
age,0.047964743573740906,-0.009431634717493427,↓ decreases ASD
A9_Score,0.04549061402776638,-0.0026303467128941578,↓ decreases ASD
A6_Score,0.04481838008266702,0.00480239586687791,↑ increases ASD
A3_Score,0.026503044379356456,-0.0022971796587186195,↓ decreases ASD
A8_Score,0.020531725690951092,-0.0032414911219238616,↓ decreases ASD
ethnicity_White-European,0.01964046758445799,-0.002874722670146109,↓ decreases ASD
austim_no,0.018543834970859888,0.0032478606893287165,↑ increases ASD
A5_Score,0.017369376165232632,-0.001320235275112662,↓ decreases ASD
contry_of_res_United States,0.01603066868585821,-0.0017286257672585264,↓ decreases ASD
A7_Score,0.00886546936291298,-0.00146022831631145,↓ decreases ASD
ethnicity_?,0.008326173096005545,0.0010143030135417348,↑ increases ASD
gender_f,0.007541347342190151,-0.0018150893838696524,↓ decreases ASD
jaundice_no,0.005774397550059082,-0.0011500112033563331,↓ decreases ASD
A2_Score,0.005441430787988942,-0.0024473285399308244,↓ decreases ASD
relation_Self,0.004603569852216159,0.0009275666678882236,↑ increases ASD
A1_Score,0.004442774483615567,-0.0027698726749587565,↓ decreases ASD
contry_of_res_Australia,0.004157005664895754,-0.0021711017974882924,↓ decreases ASD
contry_of_res_New Zealand,0.00265793141831826,-0.00012990463994522915,↓ decreases ASD
